raw_building,raw_area,canonical_building,glb_name,include,notes,sort_key
1 University Place - Exterior,Washington Square,1 University Place - Exterior,1_UNIVERSITY_PLACE,yes,,1 university place exterior
1 Washington Place,Washington Square,1 Washington Place,721_BROADWAY,yes,,1 washington place
1 Washington Place - Exterior,Washington Square,1 Washington Place - Exterior,721_BROADWAY,yes,,1 washington place exterior
1 Washington Square North - Exterior,Washington Square,1 Washington Square North - Exterior,721_BROADWAY,yes,,1 washington square north exterior
1 Washington Square Village,Washington Square,1 Washington Square Village,WASHINGTON_SQUARE_VILLAGE,yes,,1 washington square village
1 West 4th Street - Exterior,Washington Square,1 West 4th Street - Exterior,1_W_4TH_ST,yes,,1 west 4th street exterior
10 Astor Place,Washington Square,10 Astor Place,10_ASTOR_PLACE,yes,,10 astor place
10 Washington Mews,Washington Square,10 Washington Mews,WASHINGTON_MEWS,yes,,10 washington mews
10 Washington Place - Exterior,Washington Square,10 Washington Place - Exterior,10_WASHINGTON_PLACE,yes,,10 washington place exterior
100 Washington Square East,Washington Square,100 Washington Square East,SILVER_CENTER,yes,,100 washington square east
105 East 17th Street,Washington Square,105 East 17th Street,105_EAST_17TH_STREET,yes,,105 east 17th street
11 Waverly Place - Exterior,Washington Square,11 Waverly Place - Exterior,11_WAVERLY_PLACE,yes,,11 waverly place exterior
111 2nd Avenue,Washington Square,111 2nd Avenue,111_2ND_AVENUE,yes,,111 2nd avenue
113 Second Avenue,Washington Square,113 Second Avenue,111_2ND_AVENUE,no,,113 second avenue
12 Waverly Place,Washington Square,12 Waverly Place,12_WAVERLY_PLACE,yes,,12 waverly place
14 University Place - Exterior,Washington Square,14 University Place - Exterior,WASHINGTON_MEWS,yes,,14 university place exterior
14 Washington Place - Exterior,Washington Square,14 Washington Place - Exterior,14_WASHINGTON_PLACE,yes,,14 washington place exterior
14A Washington Mews,Washington Square,14A Washington Mews,WASHINGTON_MEWS,yes,,14a washington mews
15 Washington Place,Washington Square,15 Washington Place,15_WASHINGTON_PLACE,yes,,15 washington place
157 Bleecker Street - Exterior,Washington Square,157 Bleecker Street - Exterior,157_BLEECKER_STREET,yes,,157 bleecker street exterior
16 Washington Place,Washington Square,16 Washington Place,14_WASHINGTON_PLACE,yes,,16 washington place
16 Washington Place - Exterior,Washington Square,16 Washington Place - Exterior,14_WASHINGTON_PLACE,yes,,16 washington place exterior
18 Washington Place (exterior),Washington Square,18 Washington Place (exterior),18_WASHINGTON_PL,yes,,18 washington place exterior
18 Washington Square North - Exterior,Washington Square,18 Washington Square North - Exterior,WASHINGTON_SQUARE_PARK,yes,,18 washington square north exterior
19 University Place,Washington Square,19 University Place,19_UNIVERSITY_PLACE,yes,,19 university place
19 W 4th Street,Washington Square,19 W 4th Street,19_WEST_4TH_STREET,yes,,19 w 4th street
19 West 4th Street - Exterior,Washington Square,19 West 4th Street - Exterior,19_WEST_4TH_STREET,yes,,19 west 4th street exterior
194 Mercer Street,Washington Square,194 Mercer Street,19_WEST_4TH_STREET,yes,,194 mercer street
196 Mercer Street,Washington Square,196 Mercer Street,194_MERCER_STREET,yes,,196 mercer street
1st Avenue & East 24th Street,Kips Bay,1st Avenue & East 24th Street,345_EAST_24TH_STREET,yes,,1st avenue east 24th street
2 Washington Square Village - Exterior,Washington Square,2 Washington Square Village - Exterior,WASHINGTON_SQUARE_VILLAGE,yes,,2 washington square village exterior
2 Washington Square Village (exterior),Washington Square,2 Washington Square Village (exterior),WASHINGTON_SQUARE_VILLAGE,yes,,2 washington square village exterior
2 Washington Village - Exterior,Washington Square,2 Washington Village - Exterior,WASHINGTON_SQUARE_VILLAGE,yes,,2 washington village exterior
20 Astor Place (exterior),Washington Square,20 Astor Place (exterior),10_ASTOR_PLACE,yes,,20 astor place exterior
20 Cooper - Exterior,Washington Square,20 Cooper - Exterior,ARTHUR_L_CARTER_JOURNALISM_INSTITUTE,yes,,20 cooper exterior
20 Cooper Square,Washington Square,20 Cooper Square,ARTHUR_L_CARTER_JOURNALISM_INSTITUTE,yes,,20 cooper square
205 Mercer Street - Exterior,Washington Square,205 Mercer Street - Exterior,PAULSON_CENTER,yes,,205 mercer street exterior
232 Mercer Street - Exterior,Washington Square,232 Mercer Street - Exterior,665_BROADWAY,yes,,232 mercer street exterior
238 Thompson - Exterior,Washington Square,238 Thompson - Exterior,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,238 thompson exterior
238 Thompson Street,Washington Square,238 Thompson Street,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,238 thompson street
238 Thompson Street - Call Box,Washington Square,238 Thompson Street - Call Box,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,238 thompson street call box
238 Thompson Street - Exterior,Washington Square,238 Thompson Street - Exterior,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,238 thompson street exterior
240 Mercer Street - Exterior,Washington Square,240 Mercer Street - Exterior,240_MERCER_STREET,yes,,240 mercer street exterior
244 Greene Street,Washington Square,244 Greene Street,244_GREENE_STREET,yes,,244 greene street
246 Greene Street - Exterior,Washington Square,246 Greene Street - Exterior,246_GREENE_STREET,yes,,246 greene street exterior
2nd Street Residence Hall,Washington Square,2nd Street Residence Hall,SECOND_STREET_RESIDENCE_HALL,yes,,2nd street residence hall
3 Washington Square Village,Washington Square,3 Washington Square Village,WASHINGTON_SQUARE_VILLAGE,yes,,3 washington square village
345 East 24th Street,Kips Bay,345 East 24th Street,345_EAST_24TH_STREET,yes,,345 east 24th street
380 2nd Avenue,Kips Bay,380 2nd Avenue,380_2AV,yes,,380 2nd avenue
383 Lafayette - Exterior,Washington Square,383 Lafayette - Exterior,383_LAFAYETTE_STREET,yes,,383 lafayette exterior
383 Lafayette Street,Washington Square,383 Lafayette Street,383_LAFAYETTE_STREET,yes,,383 lafayette street
4 Washington Place - Exterior,Washington Square,4 Washington Place - Exterior,MEYER_HALL,yes,,4 washington place exterior
400 Broome Street,Washington Square,400 Broome Street,400_BROOME_STREET,yes,,400 broome street
400 Lafayette,Washington Square,400 Lafayette,400_LAFAYETTE_STREET,yes,,400 lafayette
400 Lafayette Street,Washington Square,400 Lafayette Street,400_LAFAYETTE_STREET,yes,,400 lafayette street
404 Lafayette,Washington Square,404 Lafayette,404_LAFAYETTE_STREET,yes,,404 lafayette
404 Lafayette Street,Washington Square,404 Lafayette Street,404_LAFAYETTE_STREET,yes,,404 lafayette street
404 Lafayette Street - Exterior,Washington Square,404 Lafayette Street - Exterior,404_LAFAYETTE_STREET,yes,,404 lafayette street exterior
433 1st Avenue,Kips Bay,433 1st Avenue,NYU_RORY_MEYERS_COLLEGE_OF_NURSING,yes,,433 1st avenue
433 1st Avenue - Exterior,Kips Bay & Langone (Public property only),433 1st Avenue - Exterior,NYU_RORY_MEYERS_COLLEGE_OF_NURSING,yes,,433 1st avenue exterior
44 W 4th Street,Washington Square,44 W 4th Street,STERN_TISCH_HALL,yes,,44 w 4th street
44 West 4th Street,Washington Square,44 West 4th Street,STERN_TISCH_HALL,yes,,44 west 4th street
45 W 4th St - Exterior,Washington Square,45 W 4th St - Exterior,45_WEST_4TH_STREET,yes,,45 w 4th st exterior
45 West 4th St.,Washington Square,45 West 4th St.,45_WEST_4TH_STREET,yes,,45 west 4th st
45 West 4th Street,Washington Square,45 West 4th Street,45_WEST_4TH_STREET,yes,,45 west 4th street
5 Washington Place,Washington Square,5 Washington Place,5_WASHINGTON_PLACE,yes,,5 washington place
5 Washington Place - Exterior,Washington Square,5 Washington Place - Exterior,5_WASHINGTON_PLACE,yes,,5 washington place exterior
530 LaGuardia Place,Washington Square,530 LaGuardia Place,530_LAGUARDIA_PLACE,yes,,530 laguardia place
546 LaGuardia Place - Exterior,Washington Square,546 LaGuardia Place - Exterior,546_LAGUARDIA_PLACE,yes,,546 laguardia place exterior
561 LaGuardia,Washington Square,561 LaGuardia,WASHINGTON_SQUARE_VILLAGE,yes,,561 laguardia
561 LaGuardia Place,Washington Square,561 LaGuardia Place,WASHINGTON_SQUARE_VILLAGE,yes,,561 laguardia place
561 LaGuardia Place - Exterior,Washington Square,561 LaGuardia Place - Exterior,WASHINGTON_SQUARE_VILLAGE,yes,,561 laguardia place exterior
6 Washington Place,Washington Square,6 Washington Place,MEYER_HALL,yes,,6 washington place
65 West 3rd Street,Washington Square,65 West 3rd Street,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,65 west 3rd street
665 Broadway,Washington Square,665 Broadway,665_BROADWAY,yes,,665 broadway
7-13 Washington Square North - Exterior,Washington Square,7-13 Washington Square North - Exterior,WASHINGTON_MEWS,yes,,7 13 washington square north exterior
7 Washington Pl,Washington Square,7 Washington Pl,7_WASHINGTON_PLACE,yes,,7 washington pl
7 Washington Place,Washington Square,7 Washington Place,7_WASHINGTON_PLACE,yes,,7 washington place
70 Washington Square South,Washington Square,70 Washington Square South,BOBST_LIBRARY,yes,,70 washington square south
708 Broadway,Washington Square,708 Broadway,708_BROADWAY_STREET,yes,,708 broadway
715 Broadway,Washington Square,715 Broadway,721_BROADWAY,yes,,715 broadway
715 Broadway - Exterior,Washington Square,715 Broadway - Exterior,721_BROADWAY,yes,725_721,715 broadway exterior
719 Broadway - Exterior,Washington Square,719 Broadway - Exterior,721_BROADWAY,yes,,719 broadway exterior
720 Broadway - Exterior,Washington Square,720 Broadway - Exterior,720_BROADWAY,no,,720 broadway exterior
721 Broadway,Washington Square,721 Broadway,721_BROADWAY,yes,,721 broadway
721 Broadway exterior,Washington Square,721 Broadway exterior,721_BROADWAY,yes,,721 broadway exterior
721 Broadway - Exterior,Washington Square,721 Broadway - Exterior,721_BROADWAY,yes,,721 broadway exterior
"721 Broadway, exterior on Waverly Place",Washington Square,"721 Broadway, exterior on Waverly Place",721_BROADWAY,yes,,721 broadway exterior on waverly place
725 Broadway,Washington Square,725 Broadway,721_BROADWAY,yes,,725 broadway
725 Broadway - Exterior,Washington Square,725 Broadway - Exterior,721_BROADWAY,yes,,725 broadway exterior
726 Broadway,Washington Square,726 Broadway,726_BROADWAY,yes,,726 broadway
726 Broadway - Exterior,Washington Square,726 Broadway - Exterior,726_BROADWAY,yes,,726 broadway exterior
8 Washington Place - Exterior,Washington Square,8 Washington Place - Exterior,19_WEST_4TH_STREET,yes,建议替换为8w,8 washington place exterior
80 Lafayette,Washington Square,80 Lafayette,LAFAYETTE_HALL,yes,,80 lafayette
80 Lafayette Street,Washington Square,80 Lafayette Street,LAFAYETTE_HALL,yes,,80 lafayette street
Academic Resource Center,Washington Square,Academic Resource Center,18_WASHINGTON_PL,yes,,academic resource center
Alumni Hall,Washington Square,Alumni Hall,ALUMNI_RESIDENCE_HALL,yes,,alumni hall
Alumni Hall (exterior),Washington Square,Alumni Hall (exterior),ALUMNI_RESIDENCE_HALL,yes,,alumni hall exterior
Alumni Relations,Washington Square,Alumni Relations,ALUMNI_RELATIONS,yes,,alumni relations
Alumni Residence Hall,Washington Square,Alumni Residence Hall,ALUMNI_RESIDENCE_HALL,yes,,alumni residence hall
Alumni Residence Hall - Exterior,Washington Square,Alumni Residence Hall - Exterior,ALUMNI_RESIDENCE_HALL,yes,,alumni residence hall exterior
Barney Building,Washington Square,Barney Building,BARNEY_BUILDING,yes,,barney building
Barney Building - Exterior,Washington Square,Barney Building - Exterior,BARNEY_BUILDING,yes,,barney building exterior
Basic Science,Kips Bay,Basic Science,NYU_LANGONE,yes,NYU_LANGONEgaiming,basic science
Basic Science Building,Kips Bay,Basic Science Building,NYU_LANGONE,yes,,basic science building
Basic Science Building - Exterior,Kips Bay,Basic Science Building - Exterior,NYU_LANGONE,yes,,basic science building exterior
Birttany Hall,Washington Square,Birttany Hall,BRITTANY_RESIDENCE_HALL,yes,,birttany hall
Bleecker Street and Wooster Street,Washington Square,Bleecker Street and Wooster Street,WASHINGTON_SQUARE_VILLAGE,yes,,bleecker street and wooster street
Bobst,Washington Square,Bobst,BOBST_LIBRARY,yes,,bobst
Bobst Library,Washington Square,Bobst Library,BOBST_LIBRARY,yes,,bobst library
Bobst Library (exterior),Washington Square,Bobst Library (exterior),BOBST_LIBRARY,yes,,bobst library exterior
Bobst Library - Exterior,Washington Square,Bobst Library - Exterior,BOBST_LIBRARY,yes,,bobst library exterior
Brittany Hall,Washington Square,Brittany Hall,BRITTANY_RESIDENCE_HALL,yes,,brittany hall
Brittany Hall Residence,Washington Square,Brittany Hall Residence,BRITTANY_RESIDENCE_HALL,yes,,brittany hall residence
Brittany Residence Hall,Washington Square,Brittany Residence Hall,BRITTANY_RESIDENCE_HALL,yes,,brittany residence hall
Bronfman Center (exterior),Washington Square,Bronfman Center (exterior),BRONFMAN_CENTER,yes,,bronfman center exterior
Broome Residence Hall,Washington Square,Broome Residence Hall,400_BROOME_STREET,yes,,broome residence hall
Broome Street Residence,Washington Square,Broome Street Residence,400_BROOME_STREET,yes,,broome street residence
Broome Street Residence Hall,Washington Square,Broome Street Residence Hall,400_BROOME_STREET,yes,,broome street residence hall
Brown Building,Washington Square,Brown Building,SILVER_CENTER,yes,,brown building
Cantor Film Center,Washington Square,Cantor Film Center,CANTOR_FILM_CENTER,yes,,cantor film center
Cantor Film Center - Exterior,Washington Square,Cantor Film Center - Exterior,CANTOR_FILM_CENTER,yes,,cantor film center exterior
Carlyle Court,Washington Square,Carlyle Court,CARLYLE_COURT_RESIDENCE_HALL,yes,,carlyle court
