"col1","col2","col3","col4","col5","col6","col7","col8"
"IRVS 2025-006","08/31/2025 3:57 PM","08/29/2025 12:40 AM -","Larceny","Washington Square Village","Washington Square","A community member reported stolen property.","Closed/ Referred to NYPD"
"02380-2025","08-31-2025 12:19 AM","08-31-2025 10:40 PM","Liquor Law Violation (x3)","Alumni Hall","Washington Square","An RA reported underage alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"02379-2025","08-31-2025 12:06 AM","08-30-2025 9:51 PM","Liquor Law Violation (x7)","University Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"02378-2025","08-30-2025 11:59 PM","08-30-2025 11:00 PM","Liquor Law Violation (x6)","Rubin Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"02372-2025","08-30-2025 7:10 PM","08-30-2025 6:25 PM","Criminal Mischief","Lafayette Hall","Washington Square","An RA reported Criminal Mischief.","Open"
"02357-2025","08-29-2025 10:40 PM","08-29-2025 9:30 PM","Liquor Law Violation (x7)","Palladium Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2292","08-31-2025 1:15 PM","08-28-2025 - 08-31-2025","Larceny / Hate Crime","Weinstein Hall","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2025-2291","08-31-2025 12:16 PM","08-31-2025 12:16 PM","Criminal Mischief","Alumni Hall","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-2288","08-31-2025 8:20 AM","08-31-2025 8:20 AM","Criminal Mischief","111 2nd Avenue","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-2286","08-31-2025 1:50 AM","08-31-2025 1:00 AM - 08-31-2025 1:50 AM","Harassment","University Hall","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2281","08-30-2025 2:05 PM","08-30-2025 2:05 PM - 08-30-2025 2:10 PM","Loitering","Lipton Hall","Washington Square","A Campus Safety Officer reported Loitering.","Closed/ Referred to NYPD"
