"col1","col2","col3","col4","col5","col6","col7","col8"
"04146-2024","12/21/24 10:10 PM","12/24/24 09:36 PM","Criminal Mischief","University Hall","Washington Square","A student reported Criminal Mischief.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3655","12/27/24 02:41 PM","12/27/24 02:30 PM - 12/27/24 02:40 PM","Robbery","721 Broadway - Exterior","Washington Square","A student reported a Robbery.","Closed"
"2024-3653","12/26/24 08:49 PM","12/26/24 11:30 AM - 12/26/24 08:48 PM","Larceny","Gramercy Green Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2024-3652","12/26/24 05:35 PM","12/18/24 10:00 AM - 12/18/24 11:50 AM","Larceny","Warren Weaver Hall","Washington Square","A student reported a Larceny.","Closed"
"2024-3651","12/26/24 03:06 PM","12/26/24 02:50 PM - 12/26/24 02:55 PM","Criminal Mischief","Schwartz Hall","Kips Bay","A security officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2024-3650","12/26/24 02:38 PM","11/12/24 12:00 AM","Harassment","Palladium Residence Hall","Washington Square","A student reported Harassment.","Open"
"2024-3645","12/24/24 10:20 AM","12/21/24 05:00 PM - 12/22/24 11:00 AM","Larceny","University Hall","Washington Square","A staff member reported a Larceny.","Closed"
"2024-3641","12/21/24 10:09 PM","12/21/24 10:15 PM - 12/21/24 10:17 PM","Falsely Reporting an Incident","Broome Street Residence","Washington Square","An individual Falsely Reported an Incident.","Closed/ Referred to NYPD"
"2024-3639","12/21/24 12:08 PM","12/21/24 12:00 PM - 12/21/24","Harassment","Washington Square Park","Washington Square","A student reported Harassment.","Closed"
"2024-3638","12/20/24 09:22 PM","12/20/24 08:11 PM - 12/20/24","Larceny","Broadway & West 3rd Street","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"2024-3635","12/20/24 12:19 AM","12/09/24 12:20 PM - 12/09/24","Harassment","Skirball Theater","Washington Square","A staff member reported Harassment.","Open"
"2024-3634","12/20/24 10:00 AM","12/20/24 09:00 AM - 12/20/24 09:45 AM","Larceny","Palladium Residence Hall","Washington Square","An individual reported a Larceny.","Closed/ Referred to NYPD"
"04120-2024","12/19/24 09:24 PM","12/18/24 09:24 PM","Criminal Mischief","Brittany Hall","Washington Square","A student reported Criminal Mischief.","Closed/ Referred to Office of Student Conduct & Community Standards"
"04117-2024","12/19/24 04:48 PM","12/19/24 04:30 PM","Liquor Law Violation","Palladium Residence Hall","Washington Square","An RA reported a Liquor Law Violation. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"04116-2024","12/19/24 04:44 PM","12/19/24 04:30 PM","Liquor Law Violation","Palladium Residence Hall","Washington Square","An RA reported a Liquor Law Violation. (x3)","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3629","12/20/24 01:29 AM","12/20/24 01:29 AM - 12/20/24 01:59 AM","Simple Assault","Schwartz Plaza","Washington Square","A Campus Safety Officer reported a Simple Assault.","Closed/ Referred to NYPD"
"2024-3628","12/19/24 08:47 PM","12/09/24 12:00 PM - 12/19/24 08:35 PM","Larceny","Weinstein Hall","Washington Square","A student reported missing property.","Closed"
"04101-2024","12/18/24 03:47 PM","12/18/24 03:30 PM","Liquor Law Violation","Coral Tower Residence Hall","Washington Square Park","A student reported a Liquor Law Violation. (x6)","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3621","12/19/24 02:50 AM","12/18/24 05:00 PM - 12/19/24 02:30 AM","Larceny","6 MetroTech Center","Brooklyn Commons","A student reported missing property.","Closed"
"2024-3616","12/18/24 05:27 PM","12/18/24 04:40 PM - 12/18/24 05:10 PM","Larceny","6 MetroTech Center","Brooklyn Commons","A student reported missing property.","Open"
"2024-3614","12/18/24 04:30 PM","12/18/24 02:30 PM - 12/18/24 04:30 PM","Harassment","Meyer Building","Washington Square","A student reported Harassment.","Open"
"2024-3613","12/18/24 03:03 PM","12/18/24 03:02 PM - 12/18/24 03:15 PM","Aggravated Assault","2 Washington Village - Exterior","Washington Square","A Campus Safety Officer reported reckless driving and a hit-and-run.","Closed/ Referred to NYPD"
