"col1","col2","col3","col4","col5","col6","col7","col8"
"00336-2026","01/31/2026 11:57 PM","01/31/2026 11:25 PM -","Liquor Law Violation","Founders Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/Referred to Office of Student Conduct & Community Standards"
"2026-0241","01/31/2026 8:20 PM","01/31/2026 6:45 PM - 01/31/2026 8:52 PM","Larceny","Palladium Hall","Washington Square","A student reported a Larceny.","Open"
"2026-0239","01/31/2026 6:17 PM","01/31/2026 6:06 PM - 01/31/2026 6:30 PM","Criminal Trespass","Bobst Library","Washington Square","A campus safety officer reported a Criminal Trespass.","Open"
"2026-0238","01/31/2026 4:15 PM","01/31/2026 3:13 PM - 01/31/2026 4:27 PM","Harassment","404 Lafayette St","Washington Square","A student reported Harassment.","Open"
"2026-0237","01/31/2026 2:04 PM","01/30/2026 9:00 PM - 01/31/2026 12:30 PM","Larceny","Weinstein Hall","Washington Square","A student reported a Larceny.","Closed/Referred to NYPD"
"00321-2026","01/30/2026 10:19 PM","01/28/2026 12:16 AM - 01/29/2026 4:15 PM","Harassment","Othmer Hall","Brooklyn Commons","A student reported Harassment.","Closed/Referred to Office of Student Conduct & Community Standards"
"2026-0229","01/30/2026 9:37 PM","01/30/2026 6:30 PM - 01/30/2026 9:10 PM","Larceny","John A. Paulson Center","Washington Square","A student reported a Larceny.","Open"
"2026-0227","01/30/2026 11:52 AM","01/29/2026 6:20 PM - 01/29/2026 12:00 AM","Harassment","Dibner Library","Brooklyn Commons","A staff member reported Harassment.","Open"
"2026-0222","01/30/2026 8:47 AM","12/04/2025 9:16 AM - 01/22/2026 3:10 PM","Harassment","1 MetroTech Center","Brooklyn Commons","A staff member reported Harassment.","Open"
"00310-2026","01/30/2026 2:46 AM","01/30/2026 2:00 AM","Liquor Law Violation","John A. Paulson Center","Washington Square","A staff member reported a Liquor Law Violation. x2","Closed/Referred to Office of Student Conduct & Community Standards"
"2026-0221","01/29/2026 8:26 PM","01/29/2026 7:00 PM - 01/29/2026 8:05 PM","Larceny","Palladium Hall","Washington Square","A student reported a Larceny.","Closed/Referred to NYPD"
"2026-0219","01/29/2026 8:14 PM","01/29/2026 8:00 PM - 01/29/2026 12:00 AM","Menacing-Intimidation","Washington Square Park","Washington Square","A student reported Menacing/Intimidation.","Open"
"2026-0218","01/29/2026 7:07 PM","01/26/2026 10:45 AM - 01/26/2026 12:00 AM","Harassment","Washington Square Park","Washington Square","A student reported Harassment.","Open"
"2026-0216","01/29/2026 1:02 PM","01/29/2026 11:00 AM - 01/29/2026 12:30 PM","Larceny","Jacobs Hall","Brooklyn Commons","A student reported a Larceny.","Open"
"2026-0215","01/29/2026 12:59 PM","01/29/2026 12:00 PM - 01/29/2026 12:45 PM","Larceny","Jacobs Hall","Brooklyn Commons","A student reported a Larceny.","Open"
"2026-0211","01/29/2026 9:47 AM","01/28/2026 7:00 PM - 01/29/2026 9:30 AM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Open"
"2026-0210","01/29/2026 11:03 AM","01/29/2026 11:00 AM - 01/29/2026 11:20 AM","Criminal Trespass","383 Lafayette Street","Washington Square","A campus safety officer reported a Criminal Trespass.","Closed/Referred to NYPD"
"2026-0209","01/29/2026 9:41 AM","01/29/2026 9:33 AM - 01/29/2026 9:50 AM","Criminal Trespass (attempted)","19 University Place","Washington Square","A campus safety officer reported an Attempted Criminal Trespass.","Open"
"2026-0201","01/28/2026 3:07 PM","01/28/2026 12:00 AM - 01/28/2026 12:00 AM","Criminal Trespass (attempted)","Midtown Center","Midtown Center","A staff member reported an Attempted Criminal Trespass.","Open"
"2026-0195","01/28/2026 1:29 PM","01/28/2026 10:55 AM - 01/28/2026 11:45 AM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Open"
