"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-2048","07/31/2025 5:02 PM","07-30-2025","Harassment","Schwartz Hall","Kips Bay","A student reported Harassment.","Open"
"2025-2040","07/30/2025 6:49 PM","07/30/2025 8:30 AM - 07/30/2025 6:45 PM","Motor Vehicle Theft","370 Jay Street - Exterior","Brooklyn Commons","An affiliate reported a E-Bike theft.","Open"
"2025-2034","07-26-2025 1:31 AM","07-26-2025 12:49 AM","Aggravated Assault / Weapons Law Violation","530 LaGuardia Place","Washington Square","NYPD reported an Aggravated Assault / Weapons Law Violation.","Closed/ Referred to NYPD"
"2025-2030","07-29-2025 3:10 PM","07-29-2025 10:00 AM - 07-29-2025 3:09 PM","Larceny","Warren Weaver - Exterior","Washington Square","A visitor reported missing property.","Open"
"02074-2025","07-28-2025 1:44 PM","07-28-2025 1:44 PM","Larceny","Paulson Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2024","07-29-2025 4:15 AM","07-29-2025 4:15 AM","Criminal Mischief","244 Greene Street","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-2015","07-27-2025 2:53 PM","07-24-2025 - 07-27-2025","Larceny","Carlyle Court","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-2013","07-26-2025 7:05 PM","07-26-2025 1:30 PM - 07-26-2025 4:00 PM","Larceny","Palladium Hall","Washington Square","A faculty member reported missing property.","Closed"
"2025-2006","07-25-2025 12:40 PM","07-23-2025 - 07-24-2025","Larceny","Lipton Hall","Washington Square","A non-NYU affiliate report missing property.","Open"
"2025-1997","07-24-2025 11:55 AM","07-24-2025 11:55 AM","Harassment","Basic Science Building - Exterior","Kips Bay","A student reported Harassment.","Closed"
"2025-1992","07-23-2025 6:45 PM","07-19-2025 5:00 PM","Larceny","80 Lafayette","Washington Square","An NYU-affiliate reported missing property.","Closed"
"2025-1991","07-23-2025 3:30 PM","07-23-2025 11:30 AM - 07-23-2025 12:30 AM","Larceny","Weinstein Hall","Washington Square","A student reported missing property.","Open"
"2025-1988","07-23-2025 11:51 AM","07-23-2025 8:08 AM - 07-23-2025 11:49 AM","Motor Vehicle Theft","Schwartz Hall - Exterior","Kips Bay & Langone (Public property only)","A visitor reported a stolen e-scooter.","Closed/ Referred to NYPD"
"2025-1986","07-23-2025 8:55 AM","07-22-2025 10:54 PM - 07-23-2025 7:15 AM","Larceny","6 Metrotech Center","Brooklyn Commons","A staff member reported missing property.","Open"
"2025-1979","07-21-2025 4:40 PM","07-20-2025 10:00 AM","Harassment","Paulson Center","Washington Square","An NYU-Affiliate reported Harassment.","Closed"
"2025-1976","07-21-2025 5:15 PM","07-21-2025 4:20 PM 07-21-2025 4:30 PM","Larceny","Washington Square Park","Washington Square","A staff member reported an attempted larceny.","Closed"
"2025-1971","07-21-2025 9:25 AM","07-21-2025 9:25 AM","Criminal Mischief","Carter Hall","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1968","07-20-2025 5:55 PM","07-20-2025 4:30 PM - 07-20-2025 5:51 PM","Larceny","Basic Science","Kips Bay","A student report missing property.","Closed/ Referred to NYPD"
"2025-1965","07-20-2025 2:05 AM","07-20-2025 2:05 AM","Criminal Mischief","Lipton Hall","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1963","07-19-2025 8:57 AM","07-19-2025 8:57 AM","Criminal Mischief","Vanderbilt Hall","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1962","07-19-2025 9:16 AM","07-19-2025 9:16 AM","Criminal Mischief","726 Broadway","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1961","07-19-2025 8:18 AM","07-19-2025 8:18 AM","Criminal Mischief","5 Washington Place","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1959","07-19-2025 6:18 AM","07-19-2025 6:15 AM","Larceny","Weinstein Hall","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1958","07-19-2025 3:50 AM","07-19-2025 3:50 AM","Larceny","65 West 3rd Street","Washington Square","A Campus Safety Officer reported stolen property.","Closed/ Referred to NYPD"
"2025-1955","07-19-2025 3:15 AM","07-19-2025 3:15 AM - 07-19-2025 4:30 AM","Harassment","Alumni Hall","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1953","07-19-2025 3:00 AM","07-19-2025 3:00 AM","Criminal Mischief","Silver Center","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1952","07-19-2025 2:12 AM","07-19-2025 2:12 AM","Criminal Mischief","Education Building","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1946","07-18-2025 12:05 PM","07-16-2025 4:00 PM - 07-18-2025 8:30 AM","Found Property (Reclassified from Larceny)","Weissman Building","Kips Bay","A student reported missing property.","Closed/ Referred to NYPD"
"2025-1944","07-18-2025 9:27 AM","07-18-2025 9:27 AM - 07-18-2025 9:30 AM","Criminal Trespass","238 Thompson Street","Washington Square","A Campus Safety Officer reported a Criminal Trespass.","Open"
"2025-1940","07-17-2025 7:33 PM","07-17-2025 7:33 PM - 07-17-2025 7:40 PM","Harassment","Schwartz Hall","Kips Bay","A staff member reported Harassment.","Closed/ Referred to NYPD"
"2025-1937","07-17-2025 1:14 PM","07-17-2025 1:14 PM","Harassment","Schwartz Hall","Kips Bay","A staff member reported Harassment.","Open"
"2025-1936","07-17-2025 11:45 AM","07-17-2025 11:38 AM","Criminal Trespass / Harassment","Kimmel Center","Washington Square","A staff member reported Trespass and Harassment.","Open"
"2025-1935","07-17-2025 11:10 AM","07-17-2025 11:00 AM - 07-17-2025 11:05 AM","Criminal Mischief / Harassment","726 Broadway","Washington Square","A staff member reported Criminal Mischief and Harassment.","Closed/ Referred to NYPD"
"2025-1929","07-16-2025 7:40 AM","07-07-2025","Larceny","Palladium Hall","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"01870-2025","07-14-2025 9:58 AM","07-08-2025 - 07-13-2025","Stalking","Rogers Hall","Brooklyn Commons","A student reported Stalking.","Closed/ Referred to Title IX"
"2025-1919","07-14-2025 5:00 PM","07-14-2025 5:00 PM - 07-14-2025 6:00 PM","Criminal Trespass","Paulson Center","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Closed"
"2025-1918","07-14-2025 2:22 PM","12-01-2024 - 07-07-2025","Harassment","Pless Hall","Washington Square","A staff member reported Harassment.","Closed"
"2025-1917","07-14-2025 2:40 PM","07-14-2025 2:40 PM - 07-14-2025 2:53 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Closed/ Referred to NYPD"
