"col1","col2","col3","col4","col5","col6","col7","col8"
"IRVS 2025-005","06-29-2025 8:20 PM","06-29-2025 8:20 PM - 06-29-2025 8:47 PM","Weapons Law Violation (Arrest) / Disorderly Conduct / Aggravated Assault (x40)","Washington Square Park","Washington Square","A Campus Safety Officer reported Weapons Law Violation (Arrest), Disorderly Conduct, and 40 counts of Aggravated Assault.","Closed/ Referred to NYPD"
"2025-1811","06-30-2025 3:55 PM","06-30-2025 2:55 PM - 06-30-2025 3:50 PM","Motor Vehicle Theft","6 Metrotech - Exterior","Brooklyn Commons","An NYU affiliate reported a stolen electric scooter.","Open"
"2025-1807","06-30-2025 9:55 AM","06-26-2025 8:00 PM - 06-26-2025 11:30 PM","Criminal Mischief","246 Greene Street - Exterior","Washington Square","A staff member reported Criminal Mischief.","Open"
"2025-1805","06/30/2025 6:19 AM","06/30/2025 6:00 AM - 06-30-2025","Criminal Mischief","546 LaGuardia Place - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Open"
"01718-2025","06-26-2025 11:33 AM","06-25-2025 1:15 PM","Criminal Mischief / Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Criminal Mischief and Disorderly Conduct.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1786","06-26-2025 6:15 PM","06-26-2025","Criminal Trespass (x5)","Paulson Center","Washington Square","A staff member reported Criminal Trespass.","Closed"
"2025-1785","06-26-2025 4:25 PM","06-26-2025 11:45 AM - 06-26-2025 4:21 PM","Larceny","Schwartz Hall","Kips Bay","A student reported missing property.","Open"
"2025-1779","06-26-2025 11:52 AM","06-26-2025 10:30 AM - 06-26-2025 11:30 AM","Larceny","Palladium Hall","Washington Square","A student reported missing property.","Open"
"01710-2025","06-24-2025 12:07 PM","02-2025 - 06-24-2025","Harassment","Student Technology Center","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1776","06-26-2025 10:17 AM","06-26-2025 10:17 AM - 06-26-2025 10:27 AM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Open"
