"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-1595","05/31/2025 12:37 PM","05/31/2025 12:14 PM - 05/31/2025 12:14 PM","Criminal Trespass","Tisch Hall","Washington Square","A campus safety officer reported a Criminal Trespass.","Closed"
"01582-2025","05-29-2025 11:59 AM","05-08-2025 10:00 AM - 05-09-2025","Larceny","Third North Hall","Washington Square","A student reported missing property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1592","05-30-2025 10:00 AM","05-30-2025 8:30 AM - 05-30-2025 9:55 AM","Larceny","Weissman Hall - Exterior","Kips Bay","A patient reported missing property.","Closed/ Referred to NYPD"
"2025-1590","05-29-2025 9:00 PM","05-29-2025 4:55 PM - 05-29-2025 9:00 PM","Larceny","Vanderbilt Hall","Washington Square","A contractor reported missing property.","Open"
"2025-1587","05-29-2025 2:45 PM","05-29-2025 2:45 PM - 05-29-2025 2:53 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Open"
"2025-1584","05-29-2025 10:54 AM","05-29-2025 9:30 AM - 05-29-2025 10:45 AM","Larceny","Palladium Hall","Washington Square","A student reported missing property.","Open"
"2025-1581","05-28-2025 6:42 PM","05-28-2025 4:15 PM 05-28-2025 6:15 PM","Larceny","Palladium Hall","Washington Square","A student reported missing property.","Open"
"2025-1578","05-28-2025 5:01 PM","05-28-2025 4:59 PM 05-28-2025 5:10 PM","Criminal Trespass","44 West 4th Street","Washington Square","A Campus Safety Officer reported a Criminal Trespass.","Closed"
"01565-2025","05-27-2025 12:34 PM","05-19-2025 12:35 PM - 05-22-2025 10:10 AM","Larceny / Criminal Mischief","Paulson Residence Hall","Washington Square","A staff member reported Criminal Mischief and missing property.","Closed/ Referred to NYPD"
"2025-1568","05-27-2025 2:49 PM","05-27-2025 2:49 PM","Criminal Trespass","726 Broadway","Washington Square","A staff member reported a Criminal Trespass.","Open"
"2025-1564","05-25-2025 3:14 PM","05-24-2025","Harassment","Bobst Library","Washington Square","A student reported Harassment.","Open"
"01555 -2025","05-24-2025 10:23 PM","05-11-2025 - 05-24-2025","Larceny","Third North Residence Hall","Washington Square","A student reported missing property.","Open"
"2025-1541","05-23-2025 10:03 PM","03-19-2025 7:00 PM - 03-19-2025 10:30 PM","Larceny","Palladium Hall","Washington Square","A student reported missing property.","Open"
"2025-1539","05-23-2025 4:25 PM","05-23-2025 1:30 PM - 05-23-2025 4:25 PM","Motor Vehicle Theft","Coral Towers - Exterior","Washington Square","A contractor reported a stolen e-bike.","Closed"
"2025-1536","05-23-2025 11:25 AM","05-23-2025 11:04 AM","Harassment","Bobst Library - Exterior","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"2025-1535","05-23-2025 11:17 AM","04-21-2025 - 05-23-2025","Harassment","70 Washington Square South","Washington Square","A staff member reported Harassment.","Closed/ Referred to NYPD"
"2025-1532","05/22/2025 11:09 AM","05/21/2025 11:10 PM - 05/21/2025 10:16 PM","Robbery","Pless Annex - Exterior","Washington Square","The NYPD reported a Robbery.","Closed/ Referred to NYPD"
"2025-1529","05/22/2025 4:27 PM","05/22/2025 1:00 PM - 05/22/2025 4:00 PM","Larceny","721 Broadway","Washington Square","A student reported a Larceny.","Open"
"2025-1528","05/22/2025 3:17 PM","04/03/2025 12:30 PM - 04-03-2025","Harassment","Duke House","Upper East Side","A staff member reported Harassment.","Open"
"2025-1527","05/22/2025 1:04 PM","05/22/2025 11:57 AM - 05-22-2025","Harassment","561 LaGuardia Place - Exterior","Washington Square","A campus safety officer reported Harassment","Open"
"2025-1520","05/21/2025 3:30 PM","05/21/2025 1:45 PM - 05/21/2025 2:00 PM","Criminal Mischief","Hayden Residence Hall","Washington Square","A student reported Criminal Mischief.","Closed"
