"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-2710","09/30/2025 10:30 AM","09/30/2025 10:26 AM - 09/30/2025 12:00 PM","Use of Hate Symbol","Silver Center - Exterior","Washington Square","A staff member reported Use of a Hate Symbol.","Closed/Referred to NYPD"
"2025-2706","09/30/2025 9:15 AM","09/30/2025 8:30 AM - 09-30-2025","Criminal Mischief","370 Jay Street - Exterior","Brooklyn Commons","A campus safety officer reported Criminal Mischief.","Open"
"2025-2703","09/29/2025 8:35 PM","09/24/2025 12:11 PM - 09/26/2025 7:30 PM","Larceny","Weinstein Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2694","09/29/2025 11:48 AM","09-25-2025 Unknown - 09-29-2025","Larceny","Schwartz Hall","Kips Bay","A student reported a Larceny.","Open"
"2025-2692","09/29/2025 8:52 AM","09/29/2025 6:15 AM - 09/29/2025 8:00 AM","Motor Vehicle Theft","Thompson Street & Washington Square South","Washington Square","An individual reported a Motor Vehicle Theft.","Closed/Referred to NYPD"
"2025-2690","09/28/2025 9:12 PM","09/28/2025 9:10 PM - 09/28/2025 9:26 PM","Falsely Reporting an Incident","Carlyle Court Residence Hall","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Open"
"2025-2688","09/28/2025 8:32 PM","09/28/2025 1:30 AM - 09/28/2025 2:00 AM","Larceny","D'Agostino Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2685","09/28/2025 5:23 PM","09/28/2025 5:45 PM - 09/28/2025 6:20 PM","Drug/Weapons Law Violation","Carlyle Court Residence Hall","Washington Square","A staff member reported a Drug/Weapons Law Violation.","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-2682","09/28/2025 10:22 AM","09/28/2025 10:15 AM - 09/28/2025 10:45 AM","Criminal Mischief","Tisch Bike Rack","Washington Square","A campus safety officer reported Criminal Mischief.","Open"
"2025-2680","09/28/2025 9:54 AM","09/28/2025 8:50 AM - 09/28/2025 9:00 AM","Larceny","Mercer Street & Bleecker Street","Washington Square","A student reported a Larceny.","Open"
"2025-2679","09/28/2025 8:34 AM","09/28/2025 8:17 AM - 09/28/2025 9:09 AM","Criminal Mischief","Warren Weaver Hall - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/Referred to NYPD"
"2025-2676","09/28/2025 12:22 AM","09/28/2025 12:27 AM - 09/28/2025 12:37 AM","Criminal Trespass","Tisch Bike Rack","Washington Square","A campus safety officer reported a Criminal Trespass.","Open"
"2025-2674","09/27/2025 2:09 PM","09/24/2025 6:20 PM - 09/27/2025 2:00 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2672","09/27/2025 8:13 AM","09/26/2025 8:40 AM - 09/26/2025 4:00 PM","Motor Vehicle Theft","Bobst Library - Exterior","Washington Square","A staff member reported a E-Bike theft.","Open"
"2025-2664","09/26/2025 3:46 PM","09/19/2025 10:30 AM - 09/26/2025 3:00 PM","Larceny","Weissman Hall","Kips Bay","An individual reported a Larceny.","Open"
"2025-2659","09/26/2025 10:38 AM","09/26/2025 10:35 AM - 09/26/2025 10:48 AM","Falsely Reporting an Incident","Bobst Library","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2650","09/25/2025 2:01 PM","09/25/2025 12:00 PM - 09/25/2025 1:00 PM","Motor Vehicle Theft","Paulson Center - Exterior","Washington Square","A student reported an E-bike theft.","Closed/Referred to NYPD"
"2025-2649","09/25/2025 1:50 PM","09-11-2025 - 09-11-2025","Larceny","1 Washington Place","Washington Square","A staff member reported a Larceny.","Open"
"02885-2025","09/25/2025 8:56 PM","09/25/2025 7:30 PM - 09/25/2025 7:41 PM","Harassment","Palladium Residence Hall - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-2646","09/25/2025 1:23 PM","09/24/2025 5:45 PM - 09-24-2025","Larceny","Dibner Library","Brooklyn Commons","A student reported a Larceny.","Open"
"2025-2644","09/25/2025 12:15 PM","09/18/2025 7:00 PM - 09/24/2025 5:30 PM","Larceny","Schwartz Hall","Kips Bay","A student reported a Larceny.","Open"
